infinitive_english,mood_english,tense_english,verb_english,form_1s_english,form_2s_english,form_3s_english,form_1p_english,form_2p_english,form_3p_english,infinitive,mood,tense,form_1s,form_2s,form_3s,form_1p,form_2p,form_3p,gerund,gerund_english,pastparticiple,pastparticiple_english
"to abandon, leave behind, desert; to quit, give up",Indicative,Present,"I abandon, am abandoning",abandon,abandon,abandons,abandon,abandon,abandon,abandonar,Indicativo,Presente,abandono,abandonas,abandona,abandonamos,abandonáis,abandonan,abandonando,abandoning,abandonado,abandoned
"to abandon, leave behind, desert; to quit, give up",Indicative,Future,I will abandon,will abandon,will abandon,will abandon,will abandon,will abandon,will abandon,abandonar,Indicativo,Futuro,abandonaré,abandonarás,abandonará,abandonaremos,abandonaréis,abandonarán,abandonando,abandoning,abandonado,abandoned
"to abandon, leave behind, desert; to quit, give up",Indicative,Imperfect,"I was abandoning, used to abandon, abandoned",was abandoning,were abandoning,was abandoning,were abandoning,were abandoning,were abandoning,abandonar,Indicativo,Imperfecto,abandonaba,abandonabas,abandonaba,abandonábamos,abandonabais,abandonaban,abandonando,abandoning,abandonado,abandoned
"to abandon, leave behind, desert; to quit, give up",Indicative,Preterite,I abandoned,abandoned,abandoned,abandoned,abandoned,abandoned,abandoned,abandonar,Indicativo,Pretérito,abandoné,abandonaste,abandonó,abandonamos,abandonasteis,abandonaron,abandonando,abandoning,abandonado,abandoned
"to abandon, leave behind, desert; to quit, give up",Indicative,Conditional,I would abandon,would abandon,would abandon,would abandon,would abandon,would abandon,would abandon,abandonar,Indicativo,Condicional,abandonaría,abandonarías,abandonaría,abandonaríamos,abandonaríais,abandonarían,abandonando,abandoning,abandonado,abandoned
"to abandon, leave behind, desert; to quit, give up",Indicative,Present Perfect,I have abandoned,have abandoned,have abandoned,has abandoned,have abandoned,have abandoned,have abandoned,abandonar,Indicativo,Presente perfecto,he abandonado,has abandonado,ha abandonado,hemos abandonado,habéis abandonado,han abandonado,abandonando,abandoning,abandonado,abandoned
"to abandon, leave behind, desert; to quit, give up",Indicative,Future Perfect,I will have abandoned,will have abandoned,will have abandoned,will have abandoned,will have abandoned,will have abandoned,will have abandoned,abandonar,Indicativo,Futuro perfecto,habré abandonado,habrás abandonado,habrá abandonado,habremos abandonado,habréis abandonado,habrán abandonado,abandonando,abandoning,abandonado,abandoned
"to abandon, leave behind, desert; to quit, give up",Indicative,Past Perfect,I had abandoned,had abandoned,had abandoned,had abandoned,had abandoned,had abandoned,had abandoned,abandonar,Indicativo,Pluscuamperfecto,había abandonado,habías abandonado,había abandonado,habíamos abandonado,habíais abandonado,habían abandonado,abandonando,abandoning,abandonado,abandoned
"to abandon, leave behind, desert; to quit, give up",Indicative,Preterite (Archaic),I had abandoned,,,,,,,abandonar,Indicativo,Pretérito anterior,hube abandonado,hubiste abandonado,hubo abandonado,hubimos abandonado,hubisteis abandonado,hubieron abandonado,abandonando,abandoning,abandonado,abandoned
"to abandon, leave behind, desert; to quit, give up",Indicative,Conditional Perfect,I would have abandoned,would have abandoned,would have abandoned,would have abandoned,would have abandoned,would have abandoned,would have abandoned,abandonar,Indicativo,Condicional perfecto,habría abandonado,habrías abandonado,habría abandonado,habríamos abandonado,habríais abandonado,habrían abandonado,abandonando,abandoning,abandonado,abandoned
"to abandon, leave behind, desert; to quit, give up",Subjunctive,Present,"I abandon, am abandoning",abandon,abandon,abandons,abandon,abandon,abandon,abandonar,Subjuntivo,Presente,abandone,abandones,abandone,abandonemos,abandonéis,abandonen,abandonando,abandoning,abandonado,abandoned
"to abandon, leave behind, desert; to quit, give up",Subjunctive,Imperfect,"I abandoned, was abandoning",was abandoning,were abandoning,was abandoning,were abandoning,were abandoning,were abandoning,abandonar,Subjuntivo,Imperfecto,abandonara,abandonaras,abandonara,abandonáramos,abandonarais,abandonaran,abandonando,abandoning,abandonado,abandoned
"to abandon, leave behind, desert; to quit, give up",Subjunctive,Future,I will abandon,will abandon,will abandon,will abandon,will abandon,will abandon,will abandon,abandonar,Subjuntivo,Futuro,abandonare,abandonares,abandonare,abandonáremos,abandonareis,abandonaren,abandonando,abandoning,abandonado,abandoned
"to abandon, leave behind, desert; to quit, give up",Subjunctive,Present Perfect,"I have abandoned, abandoned",have abandoned,have abandoned,has abandoned,have abandoned,have abandoned,have abandoned,abandonar,Subjuntivo,Presente perfecto,haya abandonado,hayas abandonado,haya abandonado,hayamos abandonado,hayáis abandonado,hayan abandonado,abandonando,abandoning,abandonado,abandoned
"to abandon, leave behind, desert; to quit, give up",Subjunctive,Future Perfect,I will have abandoned,will have abandoned,will have abandoned,will have abandoned,will have abandoned,will have abandoned,will have abandoned,abandonar,Subjuntivo,Futuro perfecto,hubiere abandonado,hubieres abandonado,hubiere abandonado,hubiéremos abandonado,hubiereis abandonado,hubieren abandonado,abandonando,abandoning,abandonado,abandoned
"to abandon, leave behind, desert; to quit, give up",Subjunctive,Past Perfect,I had abandoned,had abandoned,had abandoned,had abandoned,had abandoned,had abandoned,had abandoned,abandonar,Subjuntivo,Pluscuamperfecto,hubiera abandonado,hubieras abandonado,hubiera abandonado,hubiéramos abandonado,hubierais abandonado,hubieran abandonado,abandonando,abandoning,abandonado,abandoned
"to abandon, leave behind, desert; to quit, give up",Imperative Affirmative,Present,Abandon! Don't abandon!,abandon,abandon,abandons,abandon,abandon,abandon,abandonar,Imperativo Afirmativo,Presente,,abandona,abandonad,,abandone,abandonen,abandonando,abandoning,abandonado,abandoned
"to abandon, leave behind, desert; to quit, give up",Imperative Negative,Present,Abandon! Don't abandon!,abandon,abandon,abandons,abandon,abandon,abandon,abandonar,Imperativo Negativo,Presente,,no abandones,no abandonéis,,no abandone,no abandonen,abandonando,abandoning,abandonado,abandoned
"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Indicative,Present,"I board, am boarding",board,board,boards,board,board,board,abordar,Indicativo,Presente,abordo,abordas,aborda,abordamos,abordáis,abordan,abordando,boarding,abordado,boarded
"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Indicative,Future,I will board,will board,will board,will board,will board,will board,will board,abordar,Indicativo,Futuro,abordaré,abordarás,abordará,abordaremos,abordaréis,abordarán,abordando,boarding,abordado,boarded
"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Indicative,Imperfect,"I was boarding, used to board, boarded",was boarding,were boarding,was boarding,were boarding,were boarding,were boarding,abordar,Indicativo,Imperfecto,abordaba,abordabas,abordaba,abordábamos,abordabais,abordaban,abordando,boarding,abordado,boarded
"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Indicative,Preterite,I boarded,boarded,boarded,boarded,boarded,boarded,boarded,abordar,Indicativo,Pretérito,abordé,abordaste,abordó,abordamos,abordasteis,abordaron,abordando,boarding,abordado,boarded
"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Indicative,Conditional,I would board,would board,would board,would board,would board,would board,would board,abordar,Indicativo,Condicional,abordaría,abordarías,abordaría,abordaríamos,abordaríais,abordarían,abordando,boarding,abordado,boarded
"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Indicative,Present Perfect,I have boarded,have boarded,have boarded,has boarded,have boarded,have boarded,have boarded,abordar,Indicativo,Presente perfecto,he abordado,has abordado,ha abordado,hemos abordado,habéis abordado,han abordado,abordando,boarding,abordado,boarded
"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Indicative,Future Perfect,I will have boarded,will have boarded,will have boarded,will have boarded,will have boarded,will have boarded,will have boarded,abordar,Indicativo,Futuro perfecto,habré abordado,habrás abordado,habrá abordado,habremos abordado,habréis abordado,habrán abordado,abordando,boarding,abordado,boarded
"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Indicative,Past Perfect,I had boarded,had boarded,had boarded,had boarded,had boarded,had boarded,had boarded,abordar,Indicativo,Pluscuamperfecto,había abordado,habías abordado,había abordado,habíamos abordado,habíais abordado,habían abordado,abordando,boarding,abordado,boarded
"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Indicative,Preterite (Archaic),I had boarded,,,,,,,abordar,Indicativo,Pretérito anterior,hube abordado,hubiste abordado,hubo abordado,hubimos abordado,hubisteis abordado,hubieron abordado,abordando,boarding,abordado,boarded
